month,week,day,hour,load,deltafrequency,sysFreq
1,1,1,1,101,0,50
1,1,1,2,160,-0.266437861,49.73356214
1,1,1,3,169,-0.03847864,49.96152136
1,1,1,4,108,0.40810319,50.40810319
1,1,1,5,108,0.40810319,50.40810319
1,1,1,6,157,-0.225507161,49.77449284
1,1,1,7,199,-0.152496587,49.84750341
1,1,1,8,228,-0.091902444,49.90809756
1,1,1,9,187,0.158418596,50.1584186
1,1,1,10,191,-0.015131798,49.9848682
1,1,1,11,182,0.035730166,50.03573017
1,1,1,12,227,-0.143235466,49.85676453
1,1,1,13,209,0.062228614,50.06222861
1,1,1,14,242,-0.098528639,49.90147136
1,1,1,15,195,0.174151475,50.17415147
1,1,1,16,247,-0.15211439,49.84788561
1,1,2,1,165,0.359082151,50.35908215
1,1,2,2,176,-0.04515896,49.95484104
1,1,2,3,137,0.205687524,50.20568752
1,1,2,4,147,-0.049152609,49.95084739
1,1,2,5,103,0.308659296,50.3086593
1,1,2,6,136,-0.175323019,49.82467698
1,1,2,7,211,-0.256828206,49.74317179
1,1,2,8,189,0.084105575,50.08410558
1,1,2,9,248,-0.171895394,49.82810461
1,1,2,10,255,-0.019834523,49.98016548
1,1,2,11,218,0.122633505,50.1226335
1,1,3,1,171,0.198593787,50.19859379
1,1,3,2,146,0.123723177,50.12372318
1,1,3,3,105,0.282135976,50.28213598
1,1,3,4,145,-0.199322304,49.8006777
1,1,3,5,144,0.005017662,50.00501766
1,1,3,6,133,0.059759225,50.05975922
1,1,3,7,247,-0.333481547,49.66651845
1,1,3,8,194,0.197395864,50.19739586
1,1,3,9,207,-0.045377119,49.95462288
1,1,3,10,228,-0.066550046,49.93344995
1,1,3,11,187,0.158418596,50.1584186
1,1,3,12,200,-0.046965318,49.95303468
1,1,4,1,179,0.084767656,50.08476766
1,1,4,2,108,0.475005352,50.47500535
1,1,4,3,160,-0.23482659,49.76517341
1,1,4,4,163,-0.013298344,49.98670166
1,1,4,5,149,0.067889979,50.06788998
1,1,4,6,118,0.189820711,50.18982071
1,1,4,7,230,-0.351847198,49.6481528
1,1,4,8,241,-0.032979157,49.96702084
1,1,4,9,249,-0.023214244,49.97678576
1,1,4,10,194,0.204844765,50.20484476
1,1,4,11,232,-0.118347618,49.88165238
1,1,4,12,223,0.029160942,50.02916094
1,1,5,1,116,0.666483955,50.66648395
1,1,5,2,143,-0.136424269,49.86357573
1,1,5,3,167,-0.103838566,49.89616143
1,1,5,4,125,0.242774566,50.24277457
1,1,5,5,153,-0.132230156,49.86776984
1,1,5,6,160,-0.031611272,49.96838873
1,1,5,7,225,-0.208734746,49.79126525
1,1,5,8,240,-0.04515896,49.95484104
1,1,5,9,222,0.058584596,50.0585846
1,1,5,10,214,0.027010966,50.02701097
1,1,5,11,254,-0.113786355,49.88621365
1,1,5,12,244,0.029612432,50.02961243
1,1,5,13,256,-0.03386922,49.96613078
1,1,5,14,241,0.044971578,50.04497158
1,1,5,15,204,0.13104953,50.13104953
1,1,5,16,219,-0.049489271,49.95051073
1,1,5,17,232,-0.040487343,49.95951266
1,1,6,1,117,0.710192184,50.71019218
1,1,6,2,151,-0.162691881,49.83730812
1,1,6,3,179,-0.113023541,49.88697646
1,1,6,4,178,0.004059232,50.00405923
1,1,6,5,168,0.043008533,50.04300853
1,1,6,6,121,0.280657335,50.28065734
1,1,6,7,194,-0.27188487,49.72811513
1,1,6,8,201,-0.025163201,49.9748368
1,1,6,9,198,0.010947627,50.01094763
1,1,6,10,219,-0.069284979,49.93071502
1,1,6,11,233,-0.043414622,49.95658538
1,1,6,12,197,0.132038379,50.13203838
1,1,6,13,208,-0.038211427,49.96178857
1,1,6,14,224,-0.051610239,49.94838976
1,1,6,15,182,0.166740774,50.16674077
1,1,7,1,104,0.541907514,50.54190751
1,1,7,2,158,-0.246945196,49.7530548
1,1,7,3,161,-0.013463541,49.98653646
1,1,7,4,170,-0.038252295,49.9617477
1,1,7,5,168,0.008601707,50.00860171
1,1,7,6,137,0.163495211,50.16349521
1,1,7,7,198,-0.22260174,49.77739826
1,1,7,8,220,-0.072254335,49.92774566
1,1,7,9,253,-0.094244785,49.90575521
1,1,7,10,211,0.143823795,50.1438238
1,1,7,11,252,-0.117556657,49.88244334
1,1,7,12,215,0.12434467,50.12434467
1,1,7,13,252,-0.106087714,49.89391229
1,1,7,14,230,0.069112842,50.06911284
1,1,7,15,232,-0.006228822,49.99377118
1,1,7,16,250,-0.052023121,49.94797688
1,1,7,17,213,0.125512226,50.12551223
1,2,1,1,139,0.384663368,50.38466337
1,2,1,2,134,0.026960573,50.02696057
1,2,1,3,159,-0.113607445,49.88639255
1,2,1,4,117,0.259374537,50.25937454
1,2,1,5,119,-0.012143586,49.98785641
1,2,1,6,176,-0.234005518,49.76599448
1,2,1,7,216,-0.133804325,49.86619568
1,2,1,8,214,0.006752742,50.00675274
1,2,1,9,202,0.042923367,50.04292337
1,2,1,10,228,-0.082395295,49.91760471
1,2,1,11,223,0.016200524,50.01620052
1,2,1,12,238,-0.045538447,49.95446155
1,2,1,13,252,-0.040141297,49.9598587
1,2,1,14,246,0.017623009,50.01762301
1,2,1,15,212,0.115879594,50.11587959
1,2,1,16,236,-0.073478985,49.92652101
1,2,1,17,211,0.085609402,50.0856094
1,2,2,1,168,0.184936691,50.18493669
1,2,2,2,140,0.144508671,50.14450867
1,2,2,3,107,0.222840473,50.22284047
1,2,2,4,161,-0.242343733,49.75765627
1,2,2,5,120,0.246868979,50.24686898
1,2,2,6,178,-0.235435474,49.76456453
1,2,2,7,220,-0.137940095,49.86205991
1,2,2,8,215,0.016803334,50.01680333
1,2,2,9,233,-0.0558188,49.9441812
1,2,2,10,239,-0.018139164,49.98186084
1,2,2,11,252,-0.037274062,49.96272594
1,2,3,1,123,0.75778937,50.75778937
1,2,3,2,121,0.011942865,50.01194287
1,2,3,3,180,-0.236833654,49.76316635
1,2,3,4,162,0.080282595,50.08028259
1,2,3,5,164,-0.008811504,49.9911885
1,2,3,6,110,0.3547031,50.3547031
1,2,3,7,196,-0.317034328,49.68296567
1,2,3,8,213,-0.057667779,49.94233222
1,2,3,9,215,-0.006721334,49.99327867
1,2,3,10,205,0.035246017,50.03524602
1,2,3,11,201,0.014378972,50.01437897
1,2,3,12,219,-0.059387125,49.94061288
1,2,4,1,144,0.376324663,50.37632466
1,2,4,2,124,0.11653925,50.11653925
1,2,4,3,175,-0.210569777,49.78943022
1,2,4,4,165,0.043790506,50.04379051
1,2,4,5,170,-0.021251275,49.97874872
1,2,4,6,173,-0.012529654,49.98747035
1,2,4,7,243,-0.20814006,49.79185994
1,2,4,8,232,0.034258521,50.03425852
1,2,4,9,183,0.193467892,50.19346789
1,2,4,10,213,-0.101766669,49.89823333
1,2,4,11,227,-0.044562145,49.95543785
1,2,4,12,228,-0.00316905,49.99683095
1,2,4,13,234,-0.018526753,49.98147325
1,2,4,14,190,0.167325829,50.16732583
1,2,4,15,245,-0.16220361,49.83779639
1,2,4,16,220,0.082107199,50.0821072
1,2,4,17,188,0.122986103,50.1229861
1,2,5,1,177,0.044903824,50.04490382
1,2,5,2,156,0.097265451,50.09726545
1,2,5,3,152,0.019014299,50.0190143
1,2,5,4,126,0.149096247,50.14909625
1,2,5,5,155,-0.13518553,49.86481447
1,2,5,6,106,0.334005889,50.33400589
1,2,5,7,208,-0.354324144,49.64567586
1,2,5,8,237,-0.088412478,49.91158752
1,2,5,9,192,0.169346098,50.1693461
1,2,5,10,221,-0.094813381,49.90518662
1,2,5,11,234,-0.040141297,49.9598587
1,2,5,12,242,-0.023885731,49.97611427
1,2,5,13,196,0.169576501,50.1695765
1,2,5,14,227,-0.098673321,49.90132668
1,2,5,15,245,-0.053084818,49.94691518
1,2,5,16,230,0.047122393,50.04712239
1,2,5,17,234,-0.012351168,49.98764883
1,2,6,1,139,0.493824594,50.49382459
1,2,6,2,117,0.135862853,50.13586285
1,2,6,3,124,-0.040788738,49.95921126
1,2,6,4,134,-0.053921146,49.94607885
1,2,6,5,177,-0.175533131,49.82446687
1,2,6,6,114,0.399300274,50.39930027
1,2,6,7,217,-0.342958366,49.65704163
1,2,6,8,198,0.069334968,50.06933497
1,2,6,9,188,0.038433157,50.03843316
1,2,6,10,248,-0.174808876,49.82519112
1,2,6,11,211,0.126701915,50.12670191
1,2,6,12,242,-0.092557206,49.90744279
1,2,6,13,237,0.015243531,50.01524353
1,2,6,14,241,-0.011992421,49.98800758
1,2,6,15,233,0.024808355,50.02480836
1,2,6,16,231,0.006255787,50.00625579
1,2,7,1,116,0.716314531,50.71631453
1,2,7,2,121,-0.029857163,49.97014284
1,2,7,3,177,-0.228601287,49.77139871
1,2,7,4,169,0.034203236,50.03420324
1,2,7,5,178,-0.036533091,49.96346691
1,2,7,6,152,0.123592942,50.12359294
1,2,7,7,227,-0.238725777,49.76127422
1,2,7,8,226,0.003197094,50.00319709
1,2,7,9,249,-0.066740952,49.93325905
1,2,7,10,204,0.159384563,50.15938456
1,2,7,11,247,-0.125786899,49.8742131
1,2,7,12,238,0.027323068,50.02732307
1,2,7,13,209,0.100257212,50.10025721
1,2,7,14,211,-0.006848752,49.99315125
1,2,7,15,234,-0.071019218,49.92898078
1,3,1,1,161,0.327612824,50.32761282
1,3,1,2,141,0.102488419,50.10248842
1,3,1,3,142,-0.005088333,49.99491167
1,3,1,4,160,-0.081286127,49.91871387
1,3,1,5,110,0.328428797,50.3284288
1,3,1,6,155,-0.209770651,49.79022935
1,3,1,7,183,-0.110553081,49.88944692
1,3,1,8,196,-0.047923794,49.95207621
1,3,1,9,250,-0.156069364,49.84393064
1,3,1,10,233,0.052717755,50.05271776
1,3,1,11,228,0.015845249,50.01584525
1,3,1,12,222,0.019528199,50.0195282
1,3,1,13,187,0.135235387,50.13523539
1,3,1,14,209,-0.076057195,49.9239428
1,3,1,15,246,-0.10867522,49.89132478
1,3,1,16,201,0.161763437,50.16176344
1,3,1,17,234,-0.101897139,49.89810286
1,3,1,18,236,-0.006123249,49.99387675
1,3,2,1,135,0.540569471,50.54056947
1,3,2,2,169,-0.145363751,49.85463625
1,3,2,3,155,0.06526198,50.06526198
1,3,2,4,129,0.145628893,50.14562889
1,3,2,5,138,-0.047122393,49.95287761
1,3,2,6,119,0.115364065,50.11536406
1,3,2,7,242,-0.367243109,49.63275689
1,3,2,8,186,0.217539934,50.21753993
1,3,2,9,238,-0.157866615,49.84213339
1,3,2,10,202,0.128770102,50.1287701
1,3,2,11,242,-0.119428653,49.88057135
1,3,2,12,225,0.054592164,50.05459216
1,3,3,1,176,0.201162638,50.20116264
1,3,3,2,103,0.512093832,50.51209383
1,3,3,3,130,-0.150066696,49.8499333
1,3,3,4,107,0.155313057,50.15531306
1,3,3,5,158,-0.233226019,49.76677398
1,3,3,6,164,-0.026434513,49.97356549
1,3,3,7,219,-0.181460659,49.81853934
1,3,3,8,214,0.016881854,50.01688185
1,3,3,9,235,-0.064567704,49.9354323
1,3,3,10,235,-0.064567704,49.9354323
1,3,3,11,190,0.171128689,50.17112869
1,3,3,12,201,-0.039542174,49.96045783
